 @RELATION predict

 @ATTRIBUTE act_last_two  {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
 @ATTRIBUTE act_last   {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
 @ATTRIBUTE startTime  {0,1,2,3,4,5}
 @ATTRIBUTE dayofweek {0,1}
 @ATTRIBUTE act   {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
 @data
5,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,2
14,2,1,0,14
2,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,7
14,7,5,0,14
7,14,5,0,3
14,3,0,0,14
3,14,0,0,12
14,12,0,0,14
12,14,0,0,13
14,13,0,0,14
13,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,7
14,7,5,0,14
7,14,5,0,12
14,12,5,0,14
12,14,5,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,9
13,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,6
14,6,2,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,7
14,7,0,0,14
7,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,8
13,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,0,0,14
9,14,0,0,9
14,9,1,0,13
9,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,13
14,13,5,0,14
13,14,5,0,13
14,13,5,0,14
13,14,5,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,7
14,7,2,0,14
7,14,2,0,6
14,6,2,0,14
6,14,5,0,12
14,12,0,1,14
12,14,0,1,8
14,8,0,1,14
8,14,0,1,7
14,7,0,1,14
7,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,9
13,9,1,1,14
9,14,1,1,8
14,8,1,1,1
8,1,1,1,14
1,14,1,1,13
14,13,1,1,8
13,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,6
14,6,1,1,14
6,14,5,1,13
14,13,5,1,14
13,14,5,1,12
14,12,5,1,14
12,14,5,1,8
14,8,5,1,14
8,14,5,1,12
14,12,0,1,14
12,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,12
14,12,0,1,14
12,14,0,1,12
14,12,0,1,14
12,14,0,1,11
14,11,0,1,14
11,14,0,1,9
14,9,1,1,2
9,2,1,1,14
2,14,2,1,13
14,13,2,1,14
13,14,2,1,8
14,8,2,1,1
8,1,2,1,14
1,14,5,1,12
14,12,0,0,14
12,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,1,0,2
9,2,1,0,14
2,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,5,0,9
14,9,0,0,2
9,2,0,0,14
2,14,0,0,2
14,2,0,0,14
2,14,0,0,2
14,2,0,0,14
2,14,5,0,4
14,4,5,0,14
4,14,5,0,12
14,12,0,0,14
12,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,11
14,11,0,0,14
11,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,1,0,2
9,2,1,0,14
2,14,1,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,11
14,11,2,0,14
11,14,2,0,6
14,6,2,0,14
6,14,5,0,9
14,9,5,0,14
9,14,5,0,13
14,13,5,0,14
13,14,5,0,8
14,8,5,0,14
8,14,5,0,13
14,13,5,0,14
13,14,5,0,11
14,11,5,0,14
11,14,5,0,9
14,9,0,0,14
9,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,0,0,14
9,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,0,0,14
12,14,0,0,12
14,12,0,0,14
12,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,13
8,13,0,0,14
13,14,0,0,9
14,9,1,0,13
9,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,1,0,4
14,4,1,0,14
4,14,1,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,8
13,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,6
14,6,2,0,14
6,14,5,0,12
14,12,0,1,14
12,14,0,1,12
14,12,0,1,14
12,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,1,1,11
9,11,1,1,14
11,14,1,1,6
14,6,1,1,14
6,14,1,1,4
14,4,1,1,14
4,14,1,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,1
8,1,1,1,14
1,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,6
14,6,1,1,14
6,14,5,1,4
14,4,5,1,14
4,14,5,1,7
14,7,5,1,14
7,14,5,1,8
14,8,5,1,14
8,14,5,1,13
14,13,5,1,14
13,14,0,1,9
14,9,0,1,14
9,14,0,1,13
14,13,0,1,14
13,14,0,1,9
14,9,0,1,14
9,14,0,1,2
14,2,0,1,14
2,14,0,1,9
14,9,2,1,14
9,14,2,1,13
14,13,2,1,14
13,14,2,1,9
14,9,2,1,14
9,14,5,1,12
14,12,0,0,9
12,9,1,0,14
9,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,12
14,12,0,0,14
12,14,0,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,5,0,13
14,13,5,0,14
13,14,5,0,8
14,8,5,0,14
8,14,5,0,7
14,7,5,0,14
7,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,0,0,14
9,14,0,0,9
14,9,2,0,14
9,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,5,0,12
14,12,5,0,14
12,14,5,0,12
14,12,0,0,14
12,14,0,0,6
14,6,0,0,14
6,14,0,0,4
14,4,0,0,14
4,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,12
14,12,5,0,8
12,8,5,0,14
8,14,5,0,12
14,12,5,0,14
12,14,5,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,2,0,1
8,1,2,0,14
1,14,2,0,13
14,13,2,0,14
13,14,2,0,13
14,13,2,0,14
13,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,5,0,4
14,4,5,0,14
4,14,5,0,8
14,8,5,0,14
8,14,5,0,12
14,12,0,1,14
12,14,0,1,7
14,7,0,1,14
7,14,0,1,3
14,3,0,1,12
3,12,0,1,14
12,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,9
14,9,1,1,8
9,8,1,1,1
8,1,1,1,14
1,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,6
14,6,1,1,14
6,14,5,1,9
14,9,2,1,14
9,14,5,1,9
14,9,2,0,14
9,14,5,0,13
14,13,5,0,14
13,14,5,0,13
14,13,5,0,14
13,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,0,0,4
14,4,0,0,14
4,14,0,0,7
14,7,0,0,14
7,14,0,0,12
14,12,0,0,14
12,14,0,0,7
14,7,0,0,14
7,14,0,0,3
14,3,0,0,14
3,14,0,0,13
14,13,0,0,8
13,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,2,0,8
14,8,2,0,1
8,1,2,0,14
1,14,2,0,13
14,13,2,0,14
13,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,5,0,9
14,9,5,0,14
9,14,5,0,9
14,9,0,0,14
9,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,7
14,7,5,0,14
7,14,5,0,3
14,3,5,0,14
3,14,0,0,12
14,12,0,0,14
12,14,0,0,12
14,12,0,0,14
12,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,5,0,12
14,12,5,0,14
12,14,5,0,8
14,8,5,0,14
8,14,5,0,9
14,9,0,1,14
9,14,0,1,2
14,2,0,1,14
2,14,0,1,9
14,9,0,1,14
9,14,0,1,13
14,13,0,1,14
13,14,0,1,9
14,9,0,1,14
9,14,0,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,6
14,6,1,1,14
6,14,5,1,8
14,8,5,1,14
8,14,5,1,8
14,8,5,1,14
8,14,5,1,12
14,12,5,1,14
12,14,0,1,12
14,12,0,1,14
12,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,12
14,12,0,1,14
12,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,12
14,12,0,1,14
12,14,0,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,7
14,7,1,1,14
7,14,1,1,6
14,6,1,1,14
6,14,5,1,12
14,12,0,0,14
12,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,0,0,14
9,14,0,0,2
14,2,0,0,14
2,14,0,0,9
14,9,2,0,14
9,14,5,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,0,0,14
9,14,0,0,9
14,9,1,0,14
9,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,7
14,7,5,0,14
7,14,5,0,7
14,7,5,0,14
7,14,5,0,3
14,3,0,0,14
3,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,5,0,12
14,12,0,0,14
12,14,0,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,5,0,13
14,13,5,0,14
13,14,5,0,13
14,13,0,0,9
13,9,0,0,14
9,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,6
14,6,2,0,14
6,14,5,0,12
14,12,0,1,14
12,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,1,1,14
9,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,13
8,13,1,1,14
13,14,1,1,6
14,6,1,1,14
6,14,5,1,12
14,12,5,1,14
12,14,5,1,7
14,7,5,1,14
7,14,5,1,3
14,3,5,1,14
3,14,5,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,6
14,6,0,1,14
6,14,0,1,4
14,4,0,1,14
4,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,7
14,7,1,1,14
7,14,1,1,6
14,6,1,1,14
6,14,5,1,9
14,9,1,0,8
9,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,5,0,8
14,8,5,0,14
8,14,5,0,13
14,13,5,0,14
13,14,5,0,13
14,13,5,0,14
13,14,5,0,13
14,13,5,0,9
13,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,8
13,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,0,0,9
12,9,0,0,14
9,14,0,0,13
14,13,0,0,14
13,14,0,0,13
14,13,0,0,14
13,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,7
14,7,2,0,14
7,14,2,0,6
14,6,2,0,14
6,14,5,0,13
14,13,5,0,14
13,14,5,0,7
14,7,0,0,14
7,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,0,1,4
14,4,0,1,14
4,14,0,1,12
14,12,0,1,14
12,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,1,1,14
9,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,6
14,6,1,1,14
6,14,5,1,12
14,12,5,1,14
12,14,5,1,8
14,8,5,1,14
8,14,5,1,12
14,12,5,1,14
12,14,5,1,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,14
12,14,5,0,12
14,12,5,0,14
12,14,5,0,8
14,8,5,0,14
8,14,5,0,8
14,8,5,0,14
8,14,5,0,8
14,8,0,0,14
8,14,0,0,7
14,7,0,0,14
7,14,0,0,3
14,3,0,0,14
3,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,5,0,8
14,8,5,0,14
8,14,5,0,13
14,13,5,0,14
13,14,5,0,8
14,8,5,0,14
8,14,5,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,0,0,4
14,4,0,0,14
4,14,0,0,7
14,7,0,0,14
7,14,0,0,3
14,3,0,0,12
3,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,1,0,8
9,8,1,0,1
8,1,1,0,14
1,14,1,0,13
14,13,1,0,8
13,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,1,0,4
14,4,1,0,14
4,14,1,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,8
13,8,2,0,14
8,14,0,0,4
14,4,0,0,14
4,14,0,0,7
14,7,0,0,14
7,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,0,0,14
9,14,0,0,2
14,2,0,0,14
2,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,8
14,8,1,0,14
8,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,0,0,4
14,4,0,0,7
4,7,0,0,14
7,14,0,0,9
14,9,0,0,14
9,14,0,0,9
14,9,1,0,14
9,14,1,0,2
14,2,1,0,14
2,14,1,0,9
14,9,2,0,13
9,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,5,0,9
14,9,5,0,14
9,14,5,0,13
14,13,0,0,14
13,14,0,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,0,0,4
14,4,0,0,14
4,14,0,0,7
14,7,0,0,14
7,14,0,0,3
14,3,0,0,14
3,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,13
8,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,5,0,7
14,7,5,0,3
7,3,5,0,14
3,14,5,0,12
14,12,5,0,14
12,14,5,0,9
14,9,0,1,14
9,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,8
13,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,9
14,9,1,1,14
9,14,1,1,6
14,6,1,1,14
6,14,5,1,4
14,4,5,1,14
4,14,5,1,8
14,8,5,1,14
8,14,5,1,7
14,7,5,1,14
7,14,5,1,13
14,13,5,1,14
13,14,0,1,6
14,6,0,1,14
6,14,0,1,4
14,4,0,1,14
4,14,0,1,13
14,13,0,1,14
13,14,0,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,1
8,1,1,1,14
1,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,7
14,7,1,1,14
7,14,1,1,6
14,6,1,1,14
6,14,5,1,7
14,7,0,0,14
7,14,0,0,3
14,3,0,0,14
3,14,0,0,9
14,9,2,0,14
9,14,5,0,12
14,12,0,0,14
12,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,9
14,9,2,0,14
9,14,2,0,8
14,8,2,0,14
8,14,2,0,8
14,8,2,0,1
8,1,2,0,14
1,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,8
14,8,2,0,14
8,14,2,0,13
14,13,2,0,14
13,14,2,0,6
14,6,2,0,14
6,14,5,0,13
14,13,5,0,14
13,14,5,0,7
14,7,5,0,14
7,14,5,0,6
14,6,5,0,14
6,14,5,0,4
14,4,5,0,14
4,14,5,0,8
14,8,5,0,14
8,14,5,0,13
14,13,0,0,14
13,14,0,0,9
14,9,0,0,2
9,2,0,0,14
2,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,6
14,6,1,0,14
6,14,5,0,12
14,12,5,0,7
12,7,5,0,14
7,14,5,0,8
14,8,5,0,14
8,14,5,0,12
14,12,0,0,14
12,14,0,0,9
